DESCRIPTION,QUANTITY_UNIT,MEDICINE_FEE,NAPPI_CODE
Ranitidine 300mg tabs,30,129.96,841773009
Ranitidine 300mg Zantac,30,350.79,778974006
Receptozone tabs 25mg,10,2.09,803073003
Rehydrat sachets ORS,1,3.92,815209002
Renitec 10mg tabs,28,59.62,759783004
Renitec 2.5mg,28,51.3,810355019
Renitec 20mg,28,96.56,759767009
Renitec 5mg,28,41.69,759759006
Rheugesic tabs 20mg,30,63.64,821144006
Roaccutane 10mg tabs,60,468.51,761125019
Roaccutane 20mg,60,856.23,761133003
Rocephine inj,2g,280.41,761281002
Rocephine injection,250mg,65,761257004
Rocephine injection,500mg,106.33,761265007
Rocephine injection,1g,163.05,761273018
Rolab Carbamazepine tabs 200mg,30,26.61,712523022
Salex nasal drops,10ml,15,999999999
Scheriproct ointment,15g,87.5,875376002
Scheriproct ointment,30g,155,875376010
Scheriproct suppositories,12,87.5,875384005
Scopex 10mg tabs,10,7.9,762717114
Septadine oral antiseptic,200ml,15.68,819859001
Sinuclear caps,24,30.36,795364008
Sinuclear Syrup,100ml,24.06,827312008
Sinumed tabs,20,16.04,808571001
Sinutab,20,21.29,764191004
Slow K 600mg,30,25.19,764396005
Sodium cromoglycate eye drops 2%,13.5ml,37.2,999999999
Sofradex eye/ear drops,8ml,84.63,764868004
Solu Cortef inj100mg/2ml,2ml,30.22,765074001
Spersanicol eye drops (chloramphenicol),10ml,45.54,765872005
Stemetil inj 12.5mg/ml,1ml,8.32,766461009
Stemetil tabs 5mg,10,17.14,766542017
Stilpane caps,30,39.62,766798003
Stilpane Syrup,100ml,18.86,766801004
Strepsils lozenges,16,20.98,820814008
Synalar C cream,15g,46.78,768316006
Synalar C Ointment,15g,46.78,768324009
Synalar cream,15g,32.17,768278007
SynalarOintment,15g,32.17,768286018
Syndol tabs,18,24.37,768391016
Syntometrin 1ml/ampoule,1,54.11,768545005
Tegaderm dressing 100*120mm,1,16.24,999999999
Tegaderm dressing 60*70mm,1,8.44,999999999
Tegretol suspension,250ml,98.4,769401007
Tegretol suspension,100ml,41.2,999999999
Telament drops,30ml,24.51,835145018
Theodur (theophylline) tabs 200mg,60,116.12,770353002
Theodur (theophylline) tabs 300mg,60,141.52,770361005
Theophylline (Rolab) 200mg tabs,60,74.82,788368036
Theophylline (Rolab) 300mg,30,49.94,788376020
Thermorub  cream,25g,8,999999999
Thiamin inj100mg/ml,1ml,18.39,770493009
Tixylix Syrup,100ml,27.14,771074018
Tixylix tabs,20,19.83,785997016
Tofranil 10mg tabs,30,35.99,771120001
Tofranil 25mg tabs,30,65.05,771139004
Trisequens,28,105.43,825913004
Ulsanic liquid,250ml,139.03,773441042
Ulsanic liquid,100ml,48.34,773441034
Ultimag (zinc and magnesium),30,30,999999999
Urirex K 50mg,60,13.03,774057009
Vacudol syrup,100ml,14.95,797537007
Vagmycin vaginal Cream,60g,99,832480002
Vagmycin vaginal tabs,15,90.11,774421002
Valium,15,31.71,774472006
Valium inj 10mg/2ml,2ml,18.16,774510005
Ventese tabs 2mg,30,10.07,775398012
Ventese tabs 4mg,30,15.24,775401013
Ventolin syrup 2mg/5ml,150ml,41.14,775274003
Ventolin tabs 2mg,30,9.82,775282006
Ventolin tabs 4mg,30,17.15,775304026
Vercef susp 187mg/5ml,50ml,56.67,830658009
Vercef susp 250mg caps,15,73.67,824887018
Vercef susp 375mg tabs,10,83.33,838217001
Vercef susp 375mg/5ml,50ml,94.67,830666001
Vercef susp 500mg caps,15,124,824895002
Vermox 100mg tabs,6,20.77,775614099
Vermox 500mg tab,1,20.77,807524018
Vermox Susp 100mg/5ml,30ml,20.77,775606006
Vidaylin syrup,150ml,23.5,776238019
Vitamag,30,28.64,999999999
Vitamag Forte,30,39.07,999999999
Vitamin B 12 inj 1ml,1,5.25,999999999
Vitamin E tabs,50,25,999999999
Vitamin E tabs 1000IU,30,42,999999999
Vitamin E tabs 400IU,100,55,999999999
Viteral syrup,200ml,24.37,839396007
Waxol ear drops,10ml,34,999999999
Yomesan 500mg (niclosamide),4,39.18,778877019
Zantac 150mg,30,195.83,778958019
Zantac 300mg tabs,30,350.79,778974006
Zellitrex 500mg (valacyclovir),10,131.66,817783016
Zellitrex 500mg (valacyclovir),42,553.3,817783008
Zellitrex 500mg (valacyclovir),30,393.59,817783024
Zentel 100mg/5ml susp,20ml,14.27,789720019
Zentel 200mg tabs,2,14.27,783927002
Zinnat susp125mg/5ml,50ml,64.8,814091008
Zinnat susp125mg/5ml,100ml,107.42,814091016
Zopiclone Rolab 7.5mg,30,68.66,857785028
